Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2016,Southeastern,MD,10609,4351,611,976,1047,1005,827,1000,792
2016,Southeastern,MS,279,111,14,14,14,21,35,30,40
2016,Southeastern,NC,6531,3127,310,439,574,604,575,516,386
2016,Southeastern,SC,2177,1294,87,124,124,146,147,137,118
2016,Southeastern,TN,4115,1699,249,304,298,352,390,444,379
2016,Southeastern,VA,10332,4274,562,833,914,1030,954,984,781
2016,All,USA,555175,180400,29223,43933,58666,63635,62845,58426,58047
2017,Atlantic,DE,1036,313,102,113,107,101,105,120,75
2017,Atlantic,E PA,17319,6235,1428,1798,1921,1842,1635,1442,1018
2017,Atlantic,NJ,19498,5203,1424,2252,2499,2425,2313,2041,1341
2017,Central,IL,32578,9232,1851,3117,3799,4175,4259,3405,2740
2017,Central,IA,3731,1061,214,261,340,445,462,473,475
2017,Central,KS,1663,884,66,94,149,149,140,116,65
2017,Central,MO,7604,1349,480,762,870,994,1034,1076,1039
2017,Central,NE,1981,375,137,180,241,287,293,265,203
2017,Central,WI,19836,4396,712,1036,2097,2533,2745,2803,3514
2017,Massachusetts,MA,48575,4901,3092,5252,7415,7462,7416,6408,6629
2017,Michigan,MI,48739,23032,2322,3171,4183,3946,4084,3704,4297
2017,Mid-American,IN,6389,2544,367,491,647,657,656,557,470
2017,Mid-American,KY,1855,870,87,92,144,114,151,183,214
2017,Mid-American,OH,15686,5462,884,1220,1624,1760,1806,1659,1271
2017,Mid-American,W PA,15018,3591,1080,1467,1798,1742,1709,1963,1668
2017,Mid-American,WV,1203,341,47,75,97,147,148,152,196
2017,Minnesota,MN,57634,8714,2116,3787,7234,8326,8658,9077,9722
2017,New England,CT,13004,1760,780,1313,1878,1984,1923,1630,1736
2017,New England,ME,6628,1480,305,495,828,821,700,722,1277
2017,New England,NH,5846,627,384,617,869,892,886,787,784
2017,New England,RI,3988,550,236,355,516,568,564,525,674
2017,New England,VT,4407,948,109,223,550,612,580,605,780
2017,New York,NY,50103,13763,2805,4349,5559,5624,5782,5762,6459
2017,Northern Plains,MT,4765,2685,179,193,269,334,372,379,354
2017,Northern Plains,ND,6891,509,241,471,839,991,1170,1240,1430
2017,Northern Plains,SD,2928,424,213,300,334,388,442,378,449
2017,Northern Plains,WY,2188,512,121,179,212,263,301,296,304
2017,Pacific,AK,8664,4117,293,458,641,712,692,778,973
2017,Pacific,CA,31690,16804,1240,1699,2021,2426,2669,2725,2106
2017,Pacific,HI,286,214,2,8,7,12,17,14,12
2017,Pacific,NV,1592,955,56,84,79,120,118,97,83
2017,Pacific,OR,2737,1671,78,121,187,208,184,154,134
2017,Pacific,WA,9883,5313,338,506,594,685,854,761,832
2017,Rocky Mountain,AZ,8617,4098,390,532,625,669,714,762,827
2017,Rocky Mountain,CO,15222,5001,881,1391,1548,1635,1761,1707,1298
2017,Rocky Mountain,ID,3617,1834,156,201,278,304,333,272,239
2017,Rocky Mountain,NM,1412,597,69,87,115,138,122,132,152
2017,Rocky Mountain,OK,973,295,41,55,74,112,127,137,132
2017,Rocky Mountain,TX,15026,8957,567,747,913,1080,1078,982,702
2017,Rocky Mountain,UT,4445,2332,257,431,417,355,274,199,180
2017,Southeastern,AL,2043,780,44,104,139,165,228,267,316
2017,Southeastern,AR,385,140,11,27,31,36,36,55,49
2017,Southeastern,DC,1362,647,29,56,87,104,118,157,164
2017,Southeastern,FL,15057,8618,583,856,1005,1056,1093,1074,772
2017,Southeastern,GA,2213,488,207,289,293,281,271,212,172
2017,Southeastern,LA,548,256,17,18,20,47,66,61,63
2017,Southeastern,MD,10742,4261,669,972,1035,990,1023,1003,789
2017,Southeastern,MS,302,132,13,8,14,26,35,43,31
2017,Southeastern,NC,6982,3121,329,447,580,629,615,654,607
2017,Southeastern,SC,2446,1460,97,119,133,160,169,156,152
2017,Southeastern,TN,4740,1822,245,334,311,380,552,546,550
2017,Southeastern,VA,10068,3957,568,781,940,1048,1047,944,783
2017,All,USA,562145,179631,28962,43994,59106,62960,64530,61660,61302
2018,Atlantic,DE,998,337,81,111,92,100,121,103,53
2018,Atlantic,E PA,17357,6406,1422,1782,1839,1751,1700,1442,1015
2018,Atlantic,NJ,20256,5715,1514,2067,2382,2442,2434,2102,1600
2018,Central,IL,30772,8362,1999,3201,3844,4069,4103,2966,2228
2018,Central,IA,3522,800,202,270,348,430,521,460,491
2018,Central,KS,1771,963,57,101,155,141,153,127,74
2018,Central,MO,7826,1517,508,764,922,1017,1105,976,1017
2018,Central,NE,1921,351,151,166,260,280,272,242,199
2018,Central,WI,20238,4395,722,1063,2174,2594,2867,2858,3565
2018,Massachusetts,MA,48729,5179,3072,5479,7012,7430,7235,6416,6906
2018,Michigan,MI,48664,23216,2319,3048,3880,4043,3923,3713,4522
2018,Mid-American,IN,6586,2535,383,510,638,674,661,601,584
2018,Mid-American,KY,1931,858,78,112,125,158,173,211,216
2018,Mid-American,OH,16224,5759,892,1250,1652,1808,1886,1742,1235
2018,Mid-American,W PA,15201,3686,1077,1524,1688,1753,1910,1945,1618
2018,Mid-American,WV,1205,288,49,84,112,125,146,161,240
2018,Minnesota,MN,57923,8817,2146,3809,7136,8395,8896,9122,9602
2018,New England,CT,13118,1763,779,1371,1849,1928,1911,1631,1886
2018,New England,ME,6465,1495,286,462,773,789,711,753,1196
2018,New England,NH,5805,674,383,653,874,880,876,726,739
2018,New England,RI,3919,551,200,369,519,559,529,507,685
2018,New England,VT,4332,910,121,213,550,559,569,617,793
2018,New York,NY,50587,13454,2781,4440,5459,5550,5850,6096,6957
2018,Northern Plains,MT,4967,2817,167,203,272,327,412,378,391
2018,Northern Plains,ND,6781,331,248,452,889,1030,1163,1256,1412
2018,Northern Plains,SD,2849,329,210,288,349,413,422,383,455
2018,Northern Plains,WY,2124,515,128,182,196,270,300,276,257
2018,Pacific,AK,8609,4072,316,489,627,688,700,750,967
2018,Pacific,CA,32696,17228,1230,1765,2144,2625,2844,2778,2082
2018,Pacific,HI,355,256,6,7,9,20,27,13,17
2018,Pacific,NV,2574,1374,70,113,133,209,292,233,150
2018,Pacific,OR,2790,1690,79,147,198,196,196,153,131
2018,Pacific,WA,10065,5297,331,497,600,757,856,834,893
2018,Rocky Mountain,AZ,8983,4286,420,546,673,725,775,821,737
2018,Rocky Mountain,CO,15641,5393,911,1374,1505,1758,1813,1690,1197
2018,Rocky Mountain,ID,3991,1856,148,230,312,344,364,357,380
2018,Rocky Mountain,NM,1397,617,76,74,121,140,130,129,110
2018,Rocky Mountain,OK,951,251,45,54,92,127,143,131,108
