Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2017,Rocky Mountain,CO,2689,1191,106,174,185,254,279,293,207
2017,Rocky Mountain,ID,713,338,39,49,59,68,60,44,56
2017,Rocky Mountain,NM,224,64,8,13,20,28,23,28,40
2017,Rocky Mountain,OK,67,7,1,0,3,13,12,15,16
2017,Rocky Mountain,TX,953,412,31,49,70,82,104,106,99
2017,Rocky Mountain,UT,526,268,29,56,47,40,26,31,29
2017,Southeastern,AL,213,51,4,8,12,14,24,41,59
2017,Southeastern,AR,34,6,0,0,1,2,6,10,9
2017,Southeastern,DC,263,75,4,6,26,20,30,33,69
2017,Southeastern,FL,903,383,29,61,84,77,96,101,72
2017,Southeastern,GA,173,47,8,26,19,21,21,16,15
2017,Southeastern,LA,65,14,2,4,4,5,11,10,15
2017,Southeastern,MD,1410,437,83,153,137,148,166,156,130
2017,Southeastern,MS,23,4,1,1,1,1,5,5,5
2017,Southeastern,NC,640,185,15,44,53,65,77,95,106
2017,Southeastern,SC,124,42,5,5,12,17,14,19,10
2017,Southeastern,TN,344,92,10,15,27,29,49,52,70
2017,Southeastern,VA,980,286,53,72,81,117,141,116,114
2017,All,USA,79355,18372,3514,5863,8521,9849,10634,10729,11873
2018,Atlantic,DE,107,36,4,8,10,11,17,15,6
2018,Atlantic,E PA,1818,535,153,238,204,204,194,173,117
2018,Atlantic,NJ,1815,322,85,135,241,255,301,269,207
2018,Central,IL,3410,819,206,363,423,428,450,398,323
2018,Central,IA,370,67,16,22,29,44,68,63,61
2018,Central,KS,139,58,2,5,15,17,21,13,8
2018,Central,MO,804,162,24,65,76,112,110,121,134
2018,Central,NE,206,36,13,16,33,27,25,32,24
2018,Central,WI,4121,703,115,214,381,525,630,654,899
2018,Massachusetts,MA,11367,1569,659,1086,1453,1596,1658,1567,1779
2018,Michigan,MI,5266,1911,272,330,432,475,521,560,766
2018,Mid-American,IN,539,128,22,28,57,91,75,70,68
2018,Mid-American,KY,169,62,3,7,13,15,19,29,21
2018,Mid-American,OH,1326,347,62,98,139,157,203,191,129
2018,Mid-American,W PA,1421,254,80,111,133,168,236,236,203
2018,Mid-American,WV,131,15,3,7,14,19,20,21,32
2018,Minnesota,MN,14223,1947,405,753,1587,2236,2394,2424,2477
2018,New England,CT,2711,280,126,270,386,413,426,363,447
2018,New England,ME,1179,133,35,72,152,171,152,162,302
2018,New England,NH,1092,159,60,107,139,132,160,157,178
2018,New England,RI,673,117,19,35,78,88,86,106,144
2018,New England,VT,1182,163,43,76,151,184,164,167,234
